forecast_date,route_name,forecast_occ,lower_bound,upper_bound,base_buses,recommended_buses,recommendation,extra_buses,est_extra_revenue_inr,est_extra_cost_inr,est_net_impact_inr,forecast_occ_pct
2025-02-24,AMD→Dwarka,0.5466,0.4728,0.6136,3,3,Keep As-Is,0,0.0,0.0,0.0,54.66
2025-02-25,AMD→Dwarka,0.5364,0.4622,0.6047,3,3,Keep As-Is,0,0.0,0.0,0.0,53.64
2025-02-26,AMD→Dwarka,0.5683,0.4989,0.6339,3,3,Keep As-Is,0,0.0,0.0,0.0,56.83
2025-02-27,AMD→Dwarka,0.6071,0.534,0.6746,3,3,Keep As-Is,0,0.0,0.0,0.0,60.71
2025-02-28,AMD→Dwarka,0.6892,0.6204,0.7595,3,3,Keep As-Is,0,0.0,0.0,0.0,68.92
2025-03-01,AMD→Dwarka,0.8422,0.7756,0.9136,3,4,Add 1 Bus,1,22772.0,14987.0,7785.0,84.22
2025-03-02,AMD→Dwarka,0.83,0.7657,0.8971,3,4,Add 1 Bus,1,22442.0,14987.0,7455.0,83.0
2025-03-03,AMD→Dwarka,0.5582,0.4842,0.6236,3,3,Keep As-Is,0,0.0,0.0,0.0,55.82
2025-03-04,AMD→Dwarka,0.5482,0.4831,0.6175,3,3,Keep As-Is,0,0.0,0.0,0.0,54.82
2025-03-05,AMD→Dwarka,0.5801,0.5113,0.6521,3,3,Keep As-Is,0,0.0,0.0,0.0,58.01
2025-03-06,AMD→Dwarka,0.6186,0.5465,0.6874,3,3,Keep As-Is,0,0.0,0.0,0.0,61.86
2025-03-07,AMD→Dwarka,0.7003,0.6278,0.7681,3,3,Keep As-Is,0,0.0,0.0,0.0,70.03
2025-03-08,AMD→Dwarka,0.8526,0.7847,0.9162,3,4,Add 1 Bus,1,23054.0,14987.0,8067.0,85.26
2025-03-09,AMD→Dwarka,0.8395,0.7719,0.9087,3,4,Add 1 Bus,1,22699.0,14987.0,7712.0,83.95
2025-03-10,AMD→Dwarka,0.5666,0.4935,0.6312,3,3,Keep As-Is,0,0.0,0.0,0.0,56.66
2025-03-11,AMD→Dwarka,0.5554,0.4889,0.6215,3,3,Keep As-Is,0,0.0,0.0,0.0,55.54
2025-03-12,AMD→Dwarka,0.586,0.5221,0.6522,3,3,Keep As-Is,0,0.0,0.0,0.0,58.6
2025-03-13,AMD→Dwarka,0.6231,0.5515,0.696,3,3,Keep As-Is,0,0.0,0.0,0.0,62.31
2025-03-14,AMD→Dwarka,0.7032,0.6416,0.773,3,3,Keep As-Is,0,0.0,0.0,0.0,70.32
2025-03-15,AMD→Dwarka,0.854,0.784,0.9224,3,4,Add 1 Bus,1,23091.0,14987.0,8104.0,85.4
2025-03-16,AMD→Dwarka,0.8395,0.7726,0.9026,3,4,Add 1 Bus,1,22699.0,14987.0,7712.0,83.95
2025-03-17,AMD→Dwarka,0.5652,0.4949,0.6354,3,3,Keep As-Is,0,0.0,0.0,0.0,56.52
2025-03-18,AMD→Dwarka,0.5527,0.4887,0.6168,3,3,Keep As-Is,0,0.0,0.0,0.0,55.27
2025-03-19,AMD→Dwarka,0.582,0.5151,0.6535,3,3,Keep As-Is,0,0.0,0.0,0.0,58.2
2025-03-20,AMD→Dwarka,0.618,0.5511,0.6889,3,3,Keep As-Is,0,0.0,0.0,0.0,61.8
2025-03-21,AMD→Dwarka,0.6972,0.6295,0.7683,3,3,Keep As-Is,0,0.0,0.0,0.0,69.72
2025-03-22,AMD→Dwarka,0.8472,0.7836,0.9171,3,4,Add 1 Bus,1,22907.0,14987.0,7920.0,84.72
2025-03-23,AMD→Dwarka,0.8321,0.7667,0.8999,3,4,Add 1 Bus,1,22499.0,14987.0,7512.0,83.21
2025-03-24,AMD→Dwarka,0.5574,0.4873,0.6249,3,3,Keep As-Is,0,0.0,0.0,0.0,55.74
2025-03-25,AMD→Dwarka,0.5446,0.475,0.6112,3,3,Keep As-Is,0,0.0,0.0,0.0,54.46
2025-03-26,AMD→Dwarka,0.5739,0.5088,0.6414,3,3,Keep As-Is,0,0.0,0.0,0.0,57.39
2025-03-27,AMD→Dwarka,0.61,0.5431,0.6782,3,3,Keep As-Is,0,0.0,0.0,0.0,61.0
2025-03-28,AMD→Dwarka,0.6894,0.6204,0.7605,3,3,Keep As-Is,0,0.0,0.0,0.0,68.94
2025-03-29,AMD→Dwarka,0.8398,0.772,0.9118,3,4,Add 1 Bus,1,22707.0,14987.0,7720.0,83.98
2025-03-30,AMD→Dwarka,0.8251,0.7557,0.8935,3,4,Add 1 Bus,1,22310.0,14987.0,7323.0,82.51
2025-03-31,AMD→Dwarka,0.551,0.4811,0.6132,3,3,Keep As-Is,0,0.0,0.0,0.0,55.1
2025-01-01,AMD→Gandhidham,0.6587,0.5869,0.7316,3,3,Keep As-Is,0,0.0,0.0,0.0,65.87
2025-01-02,AMD→Gandhidham,0.586,0.5141,0.6595,3,3,Keep As-Is,0,0.0,0.0,0.0,58.6
2025-01-03,AMD→Gandhidham,0.6583,0.5904,0.7265,3,3,Keep As-Is,0,0.0,0.0,0.0,65.83
2025-01-04,AMD→Gandhidham,0.7746,0.7058,0.8507,3,3,Keep As-Is,0,0.0,0.0,0.0,77.46
2025-01-05,AMD→Gandhidham,0.8109,0.7404,0.8834,3,4,Add 1 Bus,1,17878.0,12179.0,5699.0,81.09
2025-01-06,AMD→Gandhidham,0.5378,0.4666,0.6146,3,3,Keep As-Is,0,0.0,0.0,0.0,53.78
2025-01-07,AMD→Gandhidham,0.5335,0.4579,0.604,3,3,Keep As-Is,0,0.0,0.0,0.0,53.35
2025-01-08,AMD→Gandhidham,0.5387,0.467,0.6116,3,3,Keep As-Is,0,0.0,0.0,0.0,53.87
2025-01-09,AMD→Gandhidham,0.5578,0.488,0.6319,3,3,Keep As-Is,0,0.0,0.0,0.0,55.78
2025-01-10,AMD→Gandhidham,0.6299,0.5614,0.7015,3,3,Keep As-Is,0,0.0,0.0,0.0,62.99
2025-01-11,AMD→Gandhidham,0.7438,0.6694,0.816,3,3,Keep As-Is,0,0.0,0.0,0.0,74.38
2025-01-12,AMD→Gandhidham,0.7614,0.6879,0.8291,3,3,Keep As-Is,0,0.0,0.0,0.0,76.14
2025-01-13,AMD→Gandhidham,0.5283,0.458,0.6046,3,3,Keep As-Is,0,0.0,0.0,0.0,52.83
2025-01-14,AMD→Gandhidham,0.2563,0.182,0.3274,3,2,Remove 1 Bus,-1,-5651.0,12179.0,-17830.0,25.63
2025-01-15,AMD→Gandhidham,0.4146,0.3401,0.4857,3,2,Remove 1 Bus,-1,-9141.0,12179.0,-21320.0,41.46
2025-01-16,AMD→Gandhidham,0.5514,0.4779,0.6216,3,3,Keep As-Is,0,0.0,0.0,0.0,55.14
2025-01-17,AMD→Gandhidham,0.6459,0.5763,0.7165,3,3,Keep As-Is,0,0.0,0.0,0.0,64.59
2025-01-18,AMD→Gandhidham,0.7672,0.6967,0.8409,3,3,Keep As-Is,0,0.0,0.0,0.0,76.72
2025-01-19,AMD→Gandhidham,0.7486,0.6742,0.8137,3,3,Keep As-Is,0,0.0,0.0,0.0,74.86
2025-01-20,AMD→Gandhidham,0.5191,0.4509,0.5964,3,3,Keep As-Is,0,0.0,0.0,0.0,51.91
2025-01-21,AMD→Gandhidham,0.5149,0.4414,0.5823,3,3,Keep As-Is,0,0.0,0.0,0.0,51.49
2025-01-22,AMD→Gandhidham,0.5611,0.4909,0.635,3,3,Keep As-Is,0,0.0,0.0,0.0,56.11
2025-01-23,AMD→Gandhidham,0.6033,0.5331,0.6731,3,3,Keep As-Is,0,0.0,0.0,0.0,60.33
2025-01-24,AMD→Gandhidham,0.6048,0.5295,0.6765,3,3,Keep As-Is,0,0.0,0.0,0.0,60.48
2025-01-25,AMD→Gandhidham,0.7682,0.6971,0.8397,3,3,Keep As-Is,0,0.0,0.0,0.0,76.82
2025-01-26,AMD→Gandhidham,0.7273,0.6587,0.7984,3,3,Keep As-Is,0,0.0,0.0,0.0,72.73
2025-01-27,AMD→Gandhidham,0.5112,0.4405,0.5803,3,3,Keep As-Is,0,0.0,0.0,0.0,51.12
2025-01-28,AMD→Gandhidham,0.5073,0.4404,0.5836,3,3,Keep As-Is,0,0.0,0.0,0.0,50.73
2025-01-29,AMD→Gandhidham,0.5275,0.4581,0.5975,3,3,Keep As-Is,0,0.0,0.0,0.0,52.75
2025-01-30,AMD→Gandhidham,0.5384,0.467,0.6137,3,3,Keep As-Is,0,0.0,0.0,0.0,53.84
2025-01-31,AMD→Gandhidham,0.5607,0.4875,0.6314,3,3,Keep As-Is,0,0.0,0.0,0.0,56.07
2025-02-01,AMD→Gandhidham,0.661,0.5948,0.7355,3,3,Keep As-Is,0,0.0,0.0,0.0,66.1
2025-02-02,AMD→Gandhidham,0.651,0.5812,0.7211,3,3,Keep As-Is,0,0.0,0.0,0.0,65.1
2025-02-03,AMD→Gandhidham,0.4702,0.3988,0.5428,3,3,Keep As-Is,0,0.0,0.0,0.0,47.02
2025-02-04,AMD→Gandhidham,0.4575,0.3861,0.5315,3,3,Keep As-Is,0,0.0,0.0,0.0,45.75
2025-02-05,AMD→Gandhidham,0.4859,0.4146,0.5593,3,3,Keep As-Is,0,0.0,0.0,0.0,48.59
2025-02-06,AMD→Gandhidham,0.5064,0.4365,0.5728,3,3,Keep As-Is,0,0.0,0.0,0.0,50.64
2025-02-07,AMD→Gandhidham,0.5675,0.4943,0.6358,3,3,Keep As-Is,0,0.0,0.0,0.0,56.75
2025-02-08,AMD→Gandhidham,0.6654,0.5959,0.7362,3,3,Keep As-Is,0,0.0,0.0,0.0,66.54
